user_id ;country ;Days_Since_Registration;Deposit_count;Av_Deposit;Last_deposit_day;Total_sessions;Total_game_time;Favorite_Game;device_type ;Churn_risk;Age;Gender;Lifecycle_Stage;Future_Value
16;ESTADOS UNIDOS;1720;0;0;0;2;100.36;Cowboys Gold;Mobile;100%;30;Male;Dormant;5438.0467
17;CANNADA;1720;0;0;0;2;118.43;Fruit Cocktail;Mobile;100%;30;Male;Dormant;5438.0467
18;MEXICO;1720;0;0;0;2;102.69;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
19;VENEZUELA;1720;0;0;0;2;165.87;Vampy Party;Mobile;0%;30;Male;Dormant;5438.0467
20;COSTARICA;1720;0;0;0;2;133.97;Fruit Cocktail;Mobile;100%;30;Male;Dormant;5438.0467
21;MEXICO;1720;0;0;0;2;96.54;Flamingo Paradise;Mobile;0%;30;Male;Dormant;5438.0467
22;PER�;1720;0;0;0;2;104.9;Mochimon;Mobile;100%;30;Male;Dormant;5438.0467
23;VENEZUELA;1720;0;0;0;2;116.81;Fruit Cocktail;Mobile;100%;30;Male;Dormant;5438.0467
24;CHILE;1720;0;0;0;2;115.6;Guardian Of Ra;Mobile;100%;30;Male;Dormant;5438.0467
25;MEXICO;1720;0;0;0;2;109.5;Amazinglinkzeusepic4;Mobile;100%;30;Male;Dormant;5438.0467
26;CANNADA;1720;0;0;0;2;131.48;John Hunter And The Tomb Of The Scarab Queen;Mobile;0%;30;Male;Dormant;5438.0467
27;COSTARICA;1720;0;0;0;2;114.74;Amazinglinkzeus;Mobile;0%;30;Male;Dormant;5438.0467
28;MEXICO;1720;0;0;0;2;104.01;Gold Party;Mobile;0%;30;Male;Dormant;5438.0467
29;PER�;1720;0;0;0;2;130.26;Fireandrosesjoker;Mobile;0%;30;Male;Dormant;5438.0467
30;COSTARICA;1720;0;0;0;2;132.69;Wolfblazemegawaysv92;Mobile;0%;30;Male;Dormant;5438.0467
31;MEXICO;1720;0;0;0;2;124.34;Zeus 2;Mobile;100%;30;Male;Dormant;5438.0467
32;COSTARICA;1720;0;0;0;2;120.28;Mystic Fortune Deluxe;Mobile;0%;30;Male;Dormant;5438.0467
33;ESTADOS UNIDOS;1720;0;0;0;2;91.94;Crown Of Fire;Mobile;100%;30;Male;Dormant;5438.0467
34;CHILE;1720;0;0;0;3;114.75;Sleeping Dragon;Mobile;100%;30;Male;Dormant;5438.0467
35;CANADA;1720;0;0;0;3;112.07;Fruit Cocktail;Desktop;0%;30;Male;Dormant;5438.0467
36;VENEZUELA;1720;0;0;0;3;132.15;Madame Destiny Megaways;Mobile;100%;30;Male;Dormant;5438.0467
37;CHILE;1720;0;0;0;2;99.8;9madhats;Mobile;100%;30;Male;Dormant;5438.0467
38;CANNADA;1720;0;0;0;2;130.27;Ancientfortunesposeidonmegaways;Mobile;100%;30;Male;Dormant;5438.0467
39;PER�;1720;0;0;0;2;123.31;Joker's Jewels;Mobile;100%;30;Male;Dormant;5438.0467
40;ESTADOS UNIDOS;1720;0;0;0;2;127.61;Buffalo King;Mobile;100%;30;Male;Dormant;5438.0467
41;CANADA;1720;0;0;0;2;117.86;Dia De Los Muertos;Mobile;0%;30;Male;Dormant;5438.0467
42;CANNADA;1720;0;0;0;2;118.83;Dim Sum Prize;Mobile;0%;30;Male;Dormant;5438.0467
43;COSTARICA;1720;0;0;0;2;129.71;Joker's Jewels;Mobile;0%;30;Male;Dormant;5438.0467
44;MEXICO;1720;0;0;0;2;101.24;Casino Holdem;Mobile;0%;30;Male;Dormant;5438.0467
45;PERU;1720;0;0;0;2;118.34;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
46;CHILE;1720;0;0;0;2;112.82;Pinataexplosivov94;Mobile;0%;30;Male;Dormant;5438.0467
47;CANNADA;1720;0;0;0;2;164.57;Sweet Bonanza 1000;Mobile;0%;30;Male;Dormant;5438.0467
48;CANNADA;1720;0;0;0;2;145.47;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
49;CANADA;1720;0;0;0;2;126.93;Mahjong Wins Super Scatter;Mobile;0%;30;Male;Dormant;5438.0467
50;COSTARICA;1720;0;0;0;2;119.27;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
51;ESTADOS UNIDOS;1720;0;0;0;2;113.72;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
52;PERU;1720;0;0;0;2;116.64;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
53;PER�;1720;0;0;0;2;114.73;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
54;ELSALVADOR;1720;0;0;0;2;98.56;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
55;MEXICO;1720;0;0;0;2;152.31;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
56;CANNADA;1720;0;0;0;2;147.62;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
57;PER�;1720;0;0;0;2;99.78;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
58;MEXICO;1720;0;0;0;2;106.1;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
59;COSTARICA;1720;0;0;0;2;103.09;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
60;ESTADOS UNIDOS;1720;0;0;0;2;94.2;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
61;CANADA;1720;0;0;0;2;113.52;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
62;PER�;1720;0;0;0;2;104.68;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
63;ELSALVADOR;1720;0;0;0;2;89.83;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
64;MEXICO;1720;0;0;0;2;114.28;40 Wild Fire 6;Mobile;0%;30;Male;Dormant;5438.0467
65;CANNADA;1720;0;0;0;2;92.99;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
66;COSTARICA;1720;0;0;0;2;118.61;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
67;MEXICO;1720;0;0;0;2;113.36;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
68;COSTARICA;1720;0;0;0;2;86.67;Starsbonanza;Mobile;0%;30;Male;Dormant;5438.0467
69;ESTADOS UNIDOS;1720;0;0;0;3;89.7;Joker's Jewels;Desktop;0%;30;Male;Dormant;5438.0467
70;PERU;1720;0;0;0;2;98.06;Brick House Bonanza;Mobile;0%;30;Male;Dormant;5438.0467
71;CANADA;1720;0;0;0;2;120.47;Live - Mega Wheel;Mobile;0%;30;Male;Dormant;5438.0467
72;EEUU;1720;0;0;0;2;105.25;Rise Of Pyramids;Mobile;0%;30;Male;Dormant;5438.0467
73;CL;1720;0;0;0;2;134.91;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
74;PERU;1720;0;0;0;2;132.82;Joker's Jewels;Mobile;0%;30;Male;Dormant;5438.0467
75;MEXICO;1720;0;0;0;2;111.35;Classic Razz Poker Hold�em Cash Game;Mobile;0%;30;Male;Dormant;5438.0467
76;CANNADA;1720;0;0;0;3;106.79;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
77;COSTARICA;1720;0;0;0;2;119.84;Big Bass - Hold & Spinner;Mobile;0%;30;Male;Dormant;5438.0467
78;MEXICO;1720;0;0;0;2;120.53;3luckygators;Mobile;0%;30;Male;Dormant;5438.0467
79;COSTARICA;1720;0;0;0;2;118.39;Dim Sum Prize;Mobile;0%;30;Male;Dormant;5438.0467
80;ESTADOS UNIDOS;1720;0;0;0;2;121.5;Hit Bar;Mobile;0%;30;Male;Dormant;5438.0467
81;CANADA;1720;0;0;0;2;118.66;Jungle Stripes;Mobile;0%;30;Male;Dormant;5438.0467
82;PERU;1720;0;0;0;2;111.37;333boombankspowercombo;Mobile;0%;30;Male;Dormant;5438.0467
83;ELSALVADOR;1720;0;0;0;2;104.69;Blackjack Cashback;Mobile;0%;30;Male;Dormant;5438.0467
84;MEXICO;1720;0;0;0;2;126.53;Lucky Star Spins;Mobile;0%;30;Male;Dormant;5438.0467
85;CANNADA;1720;0;0;0;2;105.13;Minaexplosivagoldblitzv94;Mobile;0%;30;Male;Dormant;5438.0467
86;COSTARICA;1720;0;0;0;2;115.4;Bigbuzz;Mobile;0%;30;Male;Dormant;5438.0467
87;MEXICO;1720;0;0;0;2;128.97;Raginggodsolympus;Mobile;0%;30;Male;Dormant;5438.0467
88;PERU;1720;0;0;0;2;123.17;Sweet Bonanza 1000;Mobile;0%;30;Male;Dormant;5438.0467
89;CANADA;1720;0;0;0;2;101.38;Hot To Burn;Mobile;0%;30;Male;Dormant;5438.0467
90;EEUU;1720;0;0;0;2;116.55;Power Of Thor Megaways;Mobile;0%;30;Male;Dormant;5438.0467
91;CL;1720;0;0;0;2;107.67;Caishen's Cash;Mobile;0%;30;Male;Dormant;5438.0467
92;PERU;1720;0;0;0;2;137.65;Joker's Jewels;Mobile;0%;30;Male;Dormant;5438.0467
93;ELSALVADOR;1720;0;0;0;2;129.3;Santa's Xmas Rush;Mobile;0%;30;Male;Dormant;5438.0467
94;EEUU;1720;0;0;0;2;139.24;Fruity Treats;Mobile;0%;30;Male;Dormant;5438.0467
95;CL;1720;0;0;0;2;119.44;Live - Snakes & Ladders;Mobile;0%;30;Male;Dormant;5438.0467
96;MEXICO;1720;0;0;0;2;143.74;Starlight Princess 1000;Mobile;0%;30;Male;Dormant;5438.0467
97;CANNADA;1720;0;0;0;2;160.99;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
98;COSTARICA;1720;0;0;0;2;121.03;Gallogoldmegaways;Mobile;0%;30;Male;Dormant;5438.0467
99;MEXICO;1720;0;0;0;2;137.83;Mysterious Egypt;Mobile;0%;30;Male;Dormant;5438.0467
100;PERU;1720;0;0;0;2;111.87;Live - Spaceman;Mobile;0%;30;Male;Dormant;5438.0467
101;CHILE;1720;0;0;0;2;191.07;Starsbonanza;Mobile;0%;30;Male;Dormant;5438.0467
102;MEXICO;1720;0;0;0;2;160.88;Caishen's Cash;Mobile;0%;30;Male;Dormant;5438.0467
103;COLOMBIA;1720;0;0;0;2;138.65;Wisdom Of Athena;Desktop;0%;30;Male;Dormant;5438.0467
104;COSTARICA;1720;0;0;0;2;156.75;Madame Destiny Megaways;Mobile;0%;30;Male;Dormant;5438.0467
105;ELSALVADOR;1720;0;0;0;2;135.37;Gold Hit: Dragon Bonanza� Fb;Mobile;0%;30;Male;Dormant;5438.0467
106;ESTADOS UNIDOS;1720;0;0;0;2;159.41;Mustang Gold;Mobile;0%;30;Male;Dormant;5438.0467
107;CANNADA;1720;0;0;0;2;126.64;Starsbonanza;Mobile;0%;30;Male;Dormant;5438.0467
108;CANADA;1720;0;0;0;2;131.75;Diamond Mystery� - 100 Wild Fire;Mobile;0%;30;Male;Dormant;5438.0467
109;EEUU;1720;0;0;0;2;110.69;Tiny Toads;Mobile;0%;30;Male;Dormant;5438.0467
110;CL;1720;0;0;0;2;115.57;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
111;PER�;1720;0;0;0;2;163.81;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
112;PERU;1720;0;0;0;2;148.31;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
113;VENEZUELA;1720;0;0;0;2;127.96;Avalon;Mobile;0%;30;Male;Dormant;5438.0467
114;CHILE;1720;0;0;0;2;111.85;Riseofolympus;Mobile;0%;30;Male;Dormant;5438.0467
115;COSTARICA;1720;0;0;0;2;121.2;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
116;ESTADOS UNIDOS;1720;0;0;0;2;100.86;Fishinpotsofgoldgoldblitzv92;Mobile;0%;30;Male;Dormant;5438.0467
117;CANNADA;1720;0;0;0;2;118.23;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
118;MEXICO;1720;0;0;0;2;153.54;Santa's Village;Mobile;0%;30;Male;Dormant;5438.0467
119;VENEZUELA;1720;0;0;0;2;143.59;Santa's Great Gifts;Mobile;0%;30;Male;Dormant;5438.0467
120;COSTARICA;1720;0;0;0;2;157.99;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
121;MEXICO;1720;0;0;0;2;128.63;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
122;PER�;1720;0;0;0;2;147.16;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
123;VENEZUELA;1720;0;0;0;2;100.72;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
124;CHILE;1720;0;0;0;2;122.31;Mysterious Egypt;Mobile;0%;30;Male;Dormant;5438.0467
125;MEXICO;1720;0;0;0;2;155.71;Sizzling Hot� Deluxe;Mobile;0%;30;Male;Dormant;5438.0467
126;CANNADA;1720;0;0;0;2;147.05;Shining Hot 100;Mobile;0%;30;Male;Dormant;5438.0467
127;COSTARICA;1720;0;0;0;2;110.97;Pop Fire Blaze: Adventure Trail (Gpas);Mobile;0%;30;Male;Dormant;5438.0467
128;MEXICO;1720;0;0;0;2;121.5;Squealinriches;Mobile;0%;30;Male;Dormant;5438.0467
129;PER�;1720;0;0;0;2;122.53;Congo Cash;Mobile;0%;30;Male;Dormant;5438.0467
130;COSTARICA;1720;0;0;0;2;101.8;Gold Party;Mobile;0%;30;Male;Dormant;5438.0467
131;MEXICO;1720;0;0;0;2;115.13;Sweet Bonanza;Mobile;0%;30;Male;Dormant;5438.0467
132;COSTARICA;1720;0;0;0;2;124.01;Sweetdreambonanzaextreme;Mobile;0%;30;Male;Dormant;5438.0467
133;ESTADOS UNIDOS;1720;0;0;0;2;111.31;Megafireblaze Big Circus;Mobile;0%;30;Male;Dormant;5438.0467
134;CHILE;1720;0;0;0;2;133.13;Megafireblaze Big Circus;Mobile;0%;30;Male;Dormant;5438.0467
135;CANADA;1720;0;0;0;2;133.8;Coins Of Alkemor - Hold & Win;Mobile;0%;30;Male;Dormant;5438.0467
136;VENEZUELA;1720;0;0;0;2;127.5;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
137;CHILE;1720;0;0;0;2;102.48;Big Bass Splash;Desktop;0%;30;Male;Dormant;5438.0467
138;CANNADA;1720;0;0;0;2;114.39;Gallogoldmegaways;Mobile;0%;30;Male;Dormant;5438.0467
139;PER�;1735;0;0;0;3;135.58;Lucky Lightning;Mobile;0%;30;Male;Dormant;5438.0467
140;ESTADOS UNIDOS;1735;0;0;0;2;121.42;Big Bass Bonanza - Keeping It Reel;Mobile;0%;30;Male;Dormant;5438.0467
141;CANADA;1735;0;0;0;2;132.59;Rabbitinthehat2;Mobile;0%;30;Male;Dormant;5438.0467
142;CANNADA;1735;0;0;0;2;119.11;Brick House Bonanza;Mobile;0%;30;Male;Dormant;5438.0467
143;COSTARICA;1735;0;0;0;2;114.01;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
144;MEXICO;1735;0;0;0;2;97.77;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
145;PERU;1734;0;0;0;2;83.36;Blazingbisongoldblitzv92;Mobile;0%;30;Male;Dormant;5438.0467
146;CHILE;1734;0;0;0;2;106.53;3luckygators;Mobile;0%;30;Male;Dormant;5438.0467
147;CANNADA;1733;0;0;0;2;104.98;Sizzling Hot� Deluxe;Mobile;0%;30;Male;Dormant;5438.0467
148;CANNADA;1733;0;0;0;2;90.85;12masksoffiredrums;Mobile;0%;30;Male;Dormant;5438.0467
149;CANADA;1733;0;0;0;2;92.55;Money Stacks Megaways;Mobile;0%;30;Male;Dormant;5438.0467
150;COSTARICA;1733;0;0;0;2;101.97;Madame Destiny Megaways;Mobile;0%;30;Male;Dormant;5438.0467
151;ESTADOS UNIDOS;1732;0;0;0;2;83.25;Sweet Bonanza 1000;Mobile;0%;30;Male;Dormant;5438.0467
152;PERU;1732;0;0;0;3;127;Beastsoffire;Mobile;0%;30;Male;Dormant;5438.0467
153;PER�;1732;0;0;0;3;133.67;Big Bad Wolf Live;Mobile;0%;30;Male;Dormant;5438.0467
154;ELSALVADOR;1731;0;0;0;2;154.1;Megafireblaze Big Circus;Mobile;0%;30;Male;Dormant;5438.0467
155;MEXICO;1730;0;0;0;2;125.42;One Blackjack;Mobile;0%;30;Male;Dormant;5438.0467
156;CANNADA;1730;0;0;0;2;92.74;5 Lions Megaways 2;Mobile;0%;30;Male;Dormant;5438.0467
157;PER�;1729;0;0;0;2;108.27;Gold Trio: Sinbad's Riches�;Mobile;0%;30;Male;Dormant;5438.0467
158;MEXICO;1729;0;0;0;2;90.5;Great Rhino Megaways;Mobile;0%;30;Male;Dormant;5438.0467
159;COSTARICA;1728;0;0;0;2;87.35;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
160;ESTADOS UNIDOS;1728;0;0;0;2;113.68;Candy Blitz;Mobile;0%;30;Male;Dormant;5438.0467
161;CANADA;1728;0;0;0;2;117.02;Tomeofmadness;Mobile;0%;30;Male;Dormant;5438.0467
162;PER�;1728;0;0;0;2;109.86;Bigger Bass Splash;Mobile;0%;30;Male;Dormant;5438.0467
163;ELSALVADOR;1728;0;0;0;2;91.91;Megamagicspell;Mobile;0%;30;Male;Dormant;5438.0467
164;MEXICO;1728;0;0;0;2;122.65;Tiny Toads;Mobile;0%;30;Male;Dormant;5438.0467
165;CANNADA;1727;0;0;0;2;95.84;Magnificentpowergold;Mobile;0%;30;Male;Dormant;5438.0467
166;COSTARICA;1727;0;0;0;2;106.06;Fortunes Of Aztec;Mobile;0%;30;Male;Dormant;5438.0467
167;MEXICO;1727;0;0;0;3;137.06;John Hunter And The Tomb Of The Scarab Queen;Mobile;0%;30;Male;Dormant;5438.0467
168;COSTARICA;1727;0;0;0;2;128.06;Retroreelsdiamondglitz;Mobile;0%;30;Male;Dormant;5438.0467
169;ESTADOS UNIDOS;1727;0;0;0;2;122.24;Pyramid Linx;Mobile;0%;30;Male;Dormant;5438.0467
170;PERU;1726;0;0;0;2;106.35;Vip Blackjack With Surrender;Mobile;0%;30;Male;Dormant;5438.0467
171;CANADA;1726;0;0;0;2;117.65;One Blackjack;Desktop;0%;30;Male;Dormant;5438.0467
172;EEUU;1726;0;0;0;2;99.07;Juicyfruitssunshinerich;Mobile;0%;30;Male;Dormant;5438.0467
173;CL;1726;0;0;0;3;98.32;Casino Holdem;Mobile;0%;30;Male;Dormant;5438.0467
174;PERU;1726;0;0;0;3;148.57;Masquerade;Mobile;0%;30;Male;Dormant;5438.0467
175;MEXICO;1726;0;0;0;3;124.58;Fire Hot 5;Mobile;0%;30;Male;Dormant;5438.0467
176;CANNADA;1726;0;0;0;2;100.93;Orbs Of Atlantis;Mobile;0%;30;Male;Dormant;5438.0467
177;COSTARICA;1726;0;0;0;2;86.6;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
178;MEXICO;1726;0;0;0;1;51.06;Joker's Jewels;Mobile;100%;30;Male;Dormant;5438.0467
179;COSTARICA;1726;0;0;0;1;71.2;Ancientfortunesposeidonmegaways92;Mobile;0%;30;Male;Dormant;5438.0467
180;ESTADOS UNIDOS;1725;0;0;0;2;78.25;Gold Party;Mobile;0%;30;Male;Dormant;5438.0467
181;CANADA;1725;0;0;0;2;126.21;Santa's Village;Mobile;0%;30;Male;Dormant;5438.0467
182;PERU;1725;0;0;0;1;74.26;Fire Hot 20;Mobile;0%;30;Male;Dormant;5438.0467
183;ELSALVADOR;1725;0;0;0;1;58.25;Gold Party;Mobile;100%;30;Male;Dormant;5438.0467
184;MEXICO;1725;0;0;0;1;73.17;Mr. Macau;Mobile;0%;30;Male;Dormant;5438.0467
185;CANNADA;1725;0;0;0;2;124;Phoenix Forge;Mobile;0%;30;Male;Dormant;5438.0467
186;COSTARICA;1725;0;0;0;2;111.53;Irish Charms;Mobile;0%;30;Male;Dormant;5438.0467
187;MEXICO;1725;0;0;0;2;109.76;Fire Strike 2;Mobile;0%;30;Male;Dormant;5438.0467
188;PERU;1725;0;0;0;3;140.4;Primal Hunt;Mobile;0%;30;Male;Dormant;5438.0467
189;CANADA;1725;0;0;0;2;98.99;Jungle Stripes;Mobile;0%;30;Male;Dormant;5438.0467
190;EEUU;1725;0;0;0;2;87.72;Hot To Burn;Mobile;100%;30;Male;Dormant;5438.0467
191;CL;1725;0;0;0;2;88.41;Fireandrosesjoker;Mobile;0%;30;Male;Dormant;5438.0467
192;PERU;1725;0;0;0;2;112.73;Mambo Unlimited Blackjack;Mobile;0%;30;Male;Dormant;5438.0467
193;ELSALVADOR;1725;0;0;0;2;83.5;5 Lions Megaways;Mobile;0%;30;Male;Dormant;5438.0467
194;EEUU;1725;0;0;0;2;95.05;3 Dancing Monkeys;Mobile;0%;30;Male;Dormant;5438.0467
195;CL;1725;0;0;0;3;135.86;Live - Spaceman;Mobile;0%;30;Male;Dormant;5438.0467
196;MEXICO;1725;0;0;0;2;93.08;Super Golden Dragon Inferno;Mobile;0%;30;Male;Dormant;5438.0467
197;CANNADA;1725;0;0;0;2;110.31;Fire Hot 20;Mobile;0%;30;Male;Dormant;5438.0467
198;COSTARICA;1725;0;0;0;2;137.09;Totem Warrior;Mobile;0%;30;Male;Dormant;5438.0467
199;MEXICO;1725;0;0;0;2;119.42;Animal Instinct;Mobile;0%;30;Male;Dormant;5438.0467
200;PERU;1725;0;0;0;2;103.91;Tomeofmadness;Mobile;0%;30;Male;Dormant;5438.0467
201;CHILE;1725;0;0;0;3;101.3;Wolf Gold Power Jackpot;Mobile;0%;30;Male;Dormant;5438.0467
202;MEXICO;1725;0;0;0;3;144.18;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
203;COLOMBIA;1725;0;0;0;2;105.02;Live - Big Bass Crash;Mobile;0%;30;Male;Dormant;5438.0467
204;COSTARICA;1725;0;0;0;2;111.54;Mystic Fortune Deluxe;Mobile;0%;30;Male;Dormant;5438.0467
205;ELSALVADOR;1725;0;0;0;2;87.88;Fa-Fa Twins Android;Desktop;0%;30;Male;Dormant;5438.0467
206;ESTADOS UNIDOS;1725;0;0;0;2;109.21;Ancientfortuneszeus;Mobile;0%;30;Male;Dormant;5438.0467
207;CANNADA;1725;0;0;0;2;103.62;Octobeer Fortunes;Mobile;0%;30;Male;Dormant;5438.0467
208;CANADA;1725;0;0;0;3;97.96;Jungle Stripes;Mobile;100%;30;Male;Dormant;5438.0467
209;EEUU;1725;0;0;0;2;194.66;Pot Of Fortune;Mobile;0%;30;Male;Dormant;5438.0467
210;CL;1725;0;0;0;2;138.26;Rumba Blackjack 1;Mobile;0%;30;Male;Dormant;5438.0467
211;PER�;1725;0;0;0;2;116.61;Max Dangerous Y Las Reliquias Perdidas;Mobile;0%;30;Male;Dormant;5438.0467
212;PERU;1725;0;0;0;2;115.87;Premium Blackjack;Mobile;0%;30;Male;Dormant;5438.0467
213;VENEZUELA;1725;0;0;0;2;112.65;Classic Razz Poker Hold�em Cash Game;Mobile;0%;30;Male;Dormant;5438.0467
214;CHILE;1725;0;0;0;2;92.01;Primal Hunt;Mobile;0%;30;Male;Dormant;5438.0467
215;COSTARICA;1724;0;0;0;2;105.95;Dim Sum Prize;Mobile;0%;30;Male;Dormant;5438.0467
216;ESTADOS UNIDOS;1724;0;0;0;2;176.43;Live - Vegas Ball Bonanza;Mobile;0%;30;Male;Dormant;5438.0467
217;CANNADA;1724;0;0;0;2;131.57;Live - Sweet Bonanza Candyland;Mobile;0%;30;Male;Dormant;5438.0467
218;MEXICO;1724;0;0;0;2;113.92;Fruit Cocktail;Mobile;0%;30;Male;Dormant;5438.0467
219;VENEZUELA;1724;0;0;0;2;162.85;Gates Of Olympus;Mobile;0%;30;Male;Dormant;5438.0467
220;COSTARICA;1724;0;0;0;2;136.78;The Hand Of Midas;Mobile;0%;30;Male;Dormant;5438.0467
221;MEXICO;1723;0;0;0;2;108.64;Book Of Ra� Deluxe;Mobile;0%;30;Male;Dormant;5438.0467
222;PER�;1723;0;0;0;3;105.67;Mega Roulette;Mobile;0%;30;Male;Dormant;5438.0467
223;VENEZUELA;1722;0;0;0;2;161.75;Fire Portals;Mobile;0%;30;Male;Dormant;5438.0467
224;CHILE;1722;0;0;0;2;112.81;Blackjack Cashback;Mobile;0%;30;Male;Dormant;5438.0467
225;MEXICO;1722;0;0;0;2;97.74;Fire 4!: Cash Collect Quattro�;Mobile;0%;30;Male;Dormant;5438.0467
226;CANNADA;1721;0;0;0;2;81.77;Hot Safari;Mobile;0%;30;Male;Dormant;5438.0467
227;COSTARICA;1721;0;0;0;2;115.86;Fruit Cocktail 2;Mobile;0%;30;Male;Dormant;5438.0467
228;MEXICO;1719;0;0;0;2;101.93;The Red Queen;Mobile;0%;30;Male;Dormant;5438.0467
229;PER�;1719;0;0;0;2;85.21;Clover Gold;Mobile;0%;30;Male;Dormant;5438.0467
230;COSTARICA;1719;0;0;0;2;186.44;Dim Sum Prize;Mobile;0%;30;Male;Dormant;5438.0467
231;MEXICO;1719;0;0;0;2;135.86;Pirate Golden Age;Mobile;0%;30;Male;Dormant;5438.0467
232;COSTARICA;1719;0;0;0;2;121.36;Casino Stud Poker;Mobile;0%;30;Male;Dormant;5438.0467
233;ESTADOS UNIDOS;1719;0;0;0;2;97.37;Age Of The Gods� King Of Olympus Megaways�;Mobile;0%;30;Male;Dormant;5438.0467
234;CHILE;1719;0;0;0;2;115.29;Live - Blackjack 35;Mobile;0%;30;Male;Dormant;5438.0467
